id,multimodal
WOS:001201440500001,No
85141560710,No
85149830097,No
85163192934,No
85171293616,No
85173628307,No
85174405752,Yes
85175422999,No
85175636561,Yes
85177038014,No
85177812008,Yes
85182344516,Yes
85182850660,No
85183295414,No
85183311449,No
85184797486,No
85184802321,No
85185484368,Yes
85186339865,No
85188662450,No
85189473899,No
85190531213,Yes
85168712418,No
85194195020,No
85184978959,No
85188087504,No
85184341863,Yes
85191819696,No
85182366958,Yes
85194471367,No
85192185865,No
85189491269,No
85190687933,No
85170635633,No
85184139726,No
85189641791,No
85172340035,No
85177751148,Yes
85189755179,Yes
85183575231,No
85192572539,No
85183471757,No
85184808429,No
85174702637,No
85192059893,No
